slug	kind	format	url	title	discoveredFrom	notes
raf-db-access	other	html	https://web.archive.org/web/20240101000000id_/https://www.whdeng.cn/RAF/model1.html	Real-world Affective Faces Database access page	dataset-search	Archived primary dataset access page and non-commercial research restriction.
ferplus	research-papers	pdf	https://arxiv.org/pdf/1608.01041	Training Deep Networks for Facial Expression Recognition with Crowd-Sourced Label Distribution	dataset-search	Primary FER+ paper showing value of retaining ten-rater label distributions.
ferplus-repository	other	text	https://raw.githubusercontent.com/microsoft/FERPlus/master/README.md	Microsoft FERPlus repository README	dataset-search	Primary implementation and annotation details; repository is archived.
affwild2	research-papers	pdf	https://arxiv.org/pdf/1910.04855	Expression, Affect, Action Unit Recognition: Aff-Wild2, Multi-Task Learning and ArcFace	dataset-search	Primary multi-task video dataset and transfer-learning paper.
self-cure-network	research-papers	pdf	https://openaccess.thecvf.com/content_CVPR_2020/papers/Wang_Suppressing_Uncertainties_for_Large-Scale_Facial_Expression_Recognition_CVPR_2020_paper.pdf	Suppressing Uncertainties for Large-Scale Facial Expression Recognition	uncertainty-search	FER-specific sample weighting and relabeling for ambiguous/noisy supervision.
relative-uncertainty-learning	research-papers	pdf	https://proceedings.neurips.cc/paper_files/paper/2021/file/9332c513ef44b682e9347822c2e457ac-Paper.pdf	Relative Uncertainty Learning for Facial Expression Recognition	uncertainty-search	FER-specific aleatoric uncertainty branch and feature mixup.
uncertainty-aware-ldl	research-papers	pdf	https://openaccess.thecvf.com/content/WACV2023/papers/Le_Uncertainty-Aware_Label_Distribution_Learning_for_Facial_Expression_Recognition_WACV_2023_paper.pdf	Uncertainty-Aware Label Distribution Learning for Facial Expression Recognition	uncertainty-search	Constructs soft targets from valence-arousal neighborhoods and label uncertainty.
face2exp	research-papers	pdf	https://openaccess.thecvf.com/content/CVPR2022/papers/Zeng_Face2Exp_Combating_Data_Biases_for_Facial_Expression_Recognition_CVPR_2022_paper.pdf	Face2Exp: Combating Data Biases for Facial Expression Recognition	bias-search	Transfers broad face-recognition data while limiting identity/expression bias.
dataset-bias	research-papers	pdf	https://arxiv.org/pdf/1904.11150	A Deeper Look at Facial Expression Dataset Bias	bias-search	Cross-dataset experiments and sources of dataset discrepancy.
domain-generalizability	research-papers	pdf	https://arxiv.org/pdf/2106.15453	Critically Examining the Domain Generalizability of Facial Expression Recognition Models	bias-search	Round-robin evaluation across twelve lab and in-the-wild datasets.
affectnet-plus	research-papers	pdf	https://arxiv.org/pdf/2410.22506	AffectNet+: A Database for Enhancing Facial Expression Recognition with Soft-Labels	uncertainty-search	Soft labels designed to address ambiguity, imbalance, and diversity in AffectNet.
imbalanced-fer	research-papers	pdf	https://proceedings.neurips.cc/paper_files/paper/2023/file/2e6744370a8616c90d1e3b7a41993b7c-Paper-Conference.pdf	Leave No Stone Unturned: Mine Extra Knowledge for Imbalanced Facial Expression Recognition	imbalance-search	FER-specific rebalanced attention and smoothed labels for long-tail classes.
neural-network-calibration	research-papers	pdf	https://proceedings.mlr.press/v70/guo17a/guo17a.pdf	On Calibration of Modern Neural Networks	calibration-search	Foundational temperature-scaling baseline using held-out logits.
dirichlet-calibration	research-papers	pdf	https://papers.neurips.cc/paper/9397-beyond-temperature-scaling-obtaining-well-calibrated-multi-class-probabilities-with-dirichlet-calibration.pdf	Beyond Temperature Scaling: Obtaining Well-Calibrated Multi-Class Probabilities with Dirichlet Calibration	calibration-search	Native multiclass post-hoc calibration and distinctions among calibration notions.
revisiting-calibration	research-papers	pdf	https://papers.neurips.cc/paper_files/paper/2021/file/8420d359404024567b5aefda1231af24-Paper.pdf	Revisiting the Calibration of Modern Neural Networks	calibration-search	Modern vision architecture, pretraining, augmentation, and distribution-shift calibration evidence.
measuring-calibration	research-papers	pdf	https://openaccess.thecvf.com/content_CVPRW_2019/papers/Uncertainty%20and%20Robustness%20in%20Deep%20Visual%20Learning/Nixon_Measuring_Calibration_in_Deep_Learning_CVPRW_2019_paper.pdf	Measuring Calibration in Deep Learning	calibration-search	Documents ECE pathologies and proposes SCE, ACE, and TACE.
selective-classification	research-papers	pdf	https://papers.nips.cc/paper_files/paper/2017/file/4a8423d5e91fda00bb7e46540e2b0cf1-Paper.pdf	Selective Classification for Deep Neural Networks	calibration-search	Formal risk-coverage framing for abstaining on unreliable samples.
poster-plus-plus	research-papers	pdf	https://arxiv.org/pdf/2301.12149	POSTER++: A Simpler and Stronger Facial Expression Recognition Network	alternative-model-search	Landmark/image transformer alternative with AffectNet and RAF-DB checkpoints.
poster-plus-plus-repository	other	text	https://raw.githubusercontent.com/Talented-Q/POSTER_V2/main/README.md	POSTER++ repository README	alternative-model-search	Primary training commands, checkpoint availability, compute, and MIT license.
ddamfn	research-papers	pdf	https://mdpi-res.com/d_attachment/electronics/electronics-12-03595/article_deploy/electronics-12-03595.pdf	A Dual-Direction Attention Mixed Feature Network for Facial Expression Recognition	alternative-model-search	Lightweight mixed-kernel CNN plus dual-direction attention.
ddamfn-repository	other	text	https://raw.githubusercontent.com/SainingZhang/DDAMFN/main/README.md	DDAMFN repository README	alternative-model-search	Primary training scripts and checkpoints; no repository license file observed.
libreface	research-papers	pdf	https://openaccess.thecvf.com/content/WACV2024/papers/Chang_LibreFace_An_Open-Source_Toolkit_for_Deep_Facial_Expression_Analysis_WACV_2024_paper.pdf	LibreFace: An Open-Source Toolkit for Deep Facial Expression Analysis	alternative-model-search	Trainable FER, AU occurrence, and AU intensity toolkit with distillation.
libreface-repository	other	text	https://raw.githubusercontent.com/ihp-lab/LibreFace/main/README.md	LibreFace repository README	alternative-model-search	Current training documentation and USC research-only licensing.
emonet	research-papers	pdf	https://lab.semi.ac.cn/library/upload/files/2021/6/210333547.pdf	Estimation of Continuous Valence and Arousal Levels from Faces in Naturalistic Conditions	alternative-model-search	Continuous VA plus categorical expression and landmarks.
emonet-repository	other	text	https://raw.githubusercontent.com/face-analysis/emonet/master/README.md	EmoNet repository README	alternative-model-search	Primary checkpoint details and CC BY-NC-ND code license.
emotion-expression-validity	research-papers	html	https://pmc.ncbi.nlm.nih.gov/articles/PMC6640856/	Emotional Expressions Reconsidered: Challenges to Inferring Emotion from Human Facial Movements	validity-search	Comprehensive review limiting claims from facial movement to internal emotional state.
fer-demographic-bias	research-papers	pdf	https://arxiv.org/pdf/2205.10049	Assessing Demographic Bias Transfer from Dataset to Model: A Case Study in Facial Expression Recognition	fairness-search	FER-specific multi-class, multi-demographic bias analysis.
eu-ai-act	other	html	https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=OJ:L_202401689	Regulation (EU) 2024/1689 (Artificial Intelligence Act)	regulatory-search	Primary legal text including Article 5 emotion-recognition prohibitions in workplace and education.
